gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Male,1.0,0.0,6.44,47.8,337.9,0.1725,0.714,3.456,3.15
Female,0.0,0.0,6.55,46.3,285.7,0.2217,1.0,3.385,2.77
Male,0.0,0.0,6.53,40.8,375.8,0.1503,1.0,3.876,3.87
Male,0.0,0.0,5.59,83.4,528.3,0.6334,0.964,1.588,0.35
Female,1.0,0.0,6.83,30.0,407.5,0.0195,1.0,3.26,3.52
Female,0.0,0.0,6.56,34.5,364.2,0.0691,0.929,3.053,3.0
Male,1.0,0.0,6.41,59.0,341.9,0.1217,0.893,3.075,2.46
Male,0.0,0.0,6.72,23.4,294.8,0.0324,1.0,3.553,3.27
Female,0.0,0.0,6.38,48.4,504.3,0.3584,1.0,3.154,3.28
Male,0.0,1.0,7.11,67.3,468.2,0.0672,1.0,3.165,3.33
Male,1.0,0.0,6.95,70.6,361.1,0.1523,1.0,2.617,3.35
Male,0.0,0.0,7.54,93.4,400.4,0.0901,0.893,3.224,3.5
Male,0.0,0.0,6.91,34.7,348.6,0.0559,0.929,3.671,3.62
Female,0.0,0.0,6.15,37.2,322.3,0.102,0.929,3.139,3.14
Male,0.0,1.0,6.72,64.0,337.4,0.1748,0.964,3.324,3.46
Male,0.0,0.0,6.65,47.8,366.7,0.1233,1.0,3.553,3.54
